argon2, 199, 258
atk, 38991, 384027
camx, 39021, 386499
cram, 39046, 386618
evieext, 290, 945
express, 39100, 388321
gaussian-src, 465, 1415
ghostscript-fonts, 197, 244
glproto, 290, 945
go, 38991, 384103
hivex, 680, 3394
http-get, 197, 244
hybrid-lambda, 39047, 386180
lhapdf5, 4042, 27644
libcgroup, 4196, 29173
libfive, 39251, 388755
mariadb-c-client, 39091, 386436
mrbench, 39013, 386150
octave-signal, 41752, 438567
perl-dbd-mysql, 39063, 386541
py-aniso8601, 4354, 28706
py-asgiref, 4364, 28771
py-auxlib, 4827, 30410
py-azure-mgmt-cdn, 39605, 402609
py-cachetools, 4354, 28706
py-cymem, 4723, 29804
py-ecdsa, 4540, 29548
py-fenics-ffc, 39484, 396738
py-importlib-metadata, 5479, 36021
py-kerberos, 4389, 28969
py-mako, 4411, 29296
py-multipledispatch, 4459, 29377
py-numba, 39706, 390402
py-pygeos, 39320, 388846
py-rply, 4382, 29201
py-setuptools-scm-git-archive, 4553, 30022
py-spefile, 39018, 386094
py-wandb, 51588, 527689
r-bfastspatial, 49019, 667113
r-evaluate, 39604, 398902
r-gparotation, 39294, 390051
r-leaps, 39262, 389990
r-optimx, 39317, 392121
r-rann, 39261, 389983
r-s4vectors, 39424, 392395
r-tigris, 47643, 592885
roctracer-dev-api, 205, 300
rsyslog, 39133, 387247
sparsehash, 197, 244
sratoolkit, 201, 272
stow, 708, 3472
symlinks, 197, 244
tasmanian, 44722, 416695
vt, 234, 496
workrave, 39490, 395001
argtable, 197, 244
atmi, 39245, 386588
cfitsio, 39033, 386135
cups, 4420, 30631
ding-libs, 199, 258
dray, 80877, 668682
gtk-doc, 4901, 34349
hashcat, 201, 272
hevea, 381, 1560
hpctoolkit, 42187, 420053
leveldb, 39191, 388427
libx11, 1116, 7193
libxxf86vm, 1241, 8448
luit, 1180, 7929
megahit, 234, 496
minc-toolkit, 39341, 392050
netcdf-cxx, 39592, 395108
pangolin, 39269, 393049
process-in-process, 39411, 391666
py-azure-mgmt-redhatopenshift, 39604, 402602
py-coverage, 4443, 28914
py-dryscrape, 5610, 39873
py-fenics-ufl, 39026, 386145
py-jinja2-time, 5056, 34800
py-llvmlite, 39310, 386635
py-pox, 4525, 29074
py-pycares, 4512, 29996
py-pyliblzma, 4370, 28885
py-pytailf, 4354, 28706
py-python-louvain, 39167, 387323
py-subprocess32, 4358, 28721
py-testtools, 4354, 28706
py-twisted, 4355, 28713
py-versioneer, 4354, 28706
py-xopen, 4762, 30868
quantum-espresso, 42487, 418366
r-brio, 39261, 389983
r-dygraphs, 40025, 416144
r-gistr, 42781, 511949
r-mcmcpack, 40046, 416242
r-prettydoc, 39394, 396398
r-rmutil, 39295, 390058
r-sqldf, 40978, 455641
random123, 199, 258
re2c, 197, 244
repeatmasker, 40234, 401040
sofa-c, 197, 244
spindle, 39344, 391751
unqlite, 39032, 386078
xhmm, 39007, 386397
argp-standalone, 197, 244
athena, 39559, 390560
cbflib, 241, 649
cistem, 39233, 391009
dftd3-lib, 197, 244
docbook-xml, 4009, 27514
elfio, 39110, 386241
flecsph, 49787, 476627
gzip, 4285, 29797
hcol, 39048, 388057
isaac-server, 39256, 388765
libevent, 880, 4266
libid3tag, 250, 674
libmonitor, 220, 333
librtlsdr, 39071, 386434
minife, 39138, 388785
nest, 41473, 416009
orbit2, 4923, 33325
patchelf, 202, 279
perl-acme-damn, 678, 3380
perl-data-dumper, 678, 3380
perl-font-ttf, 678, 3380
perl-module-runtime-conflicts, 678, 3380
perl-test-requires, 678, 3380
platypus, 39195, 388681
py-azure-cli-nspkg, 4384, 29203
py-azure-mgmt-privatedns, 39604, 402602
py-cmake, 39180, 387350
py-gdbgui, 39714, 402036
py-mailchecker, 4354, 28706
py-msgpack-numpy, 39120, 386779
py-pure-eval, 4422, 28846
py-pyelftools, 4358, 28721
py-pyomo, 39199, 65994
py-reindent, 4354, 28706
py-s3fs, 40139, 399369
py-tqdm, 42807, 432866
r-affyio, 39326, 392180
r-bookdown, 41043, 443350
