aragorn, 2402, 2006
apple-libuuid, 2422, 2026
apple-libunwind, 2421, 2019
anaconda3, 2429, 2195
applewmproto, 2512, 4611
apr, 2581, 7079
anaconda2, 2421, 2139
apachetop, 3150, 20614
appres, 3601, 36517
aocc, 6291, 87792
apr-util, 6533, 93740
aoflagger, 2925, 1851
argtable, 2401, 1999
aspell, 2401, 1999
aspera-cli, 2401, 1999
astyle, 2405, 2027
argon2, 2403, 2013
aspell6-de, 2417, 2803
aspell6-es, 2417, 2803
aspell6-en, 2417, 2803
arm, 2401, 1999
alan, 2401, 1999
ace, 2404, 2020
activeharmony, 2402, 2006
aida, 2401, 1999
ampl, 2402, 2006
alglib, 2401, 1999
aeskeyfind, 2401, 1999
allpaths-lg, 2524, 2209
activemq, 2401, 1999
adf, 2401, 1999
acct, 2403, 2013
agrep, 2401, 1999
abduco, 2403, 2013
argp-standalone, 2401, 1999
albert, 2564, 5536
aespipe, 2407, 2041
ack, 2912, 12710
asdcplib, 3287, 22003
astra, 3378, 27993
aml, 3186, 21826
advancecomp, 3149, 20609
acpid, 3145, 20493
3proxy, 3143, 20479
arm-forge, 6279, 87291
alsa-lib, 6276, 87284
amdblis, 6373, 87504
acpica-tools, 6388, 90294
acl, 6301, 88584
addrwatch, 6493, 92485
asciidoc, 6753, 100554
asciidoc-py3, 6717, 100448
adms, 6676, 101728
amdlibm, 6871, 94310
atlas, 2432, 2088
atop, 2584, 5601
ambari, 8297, 116627
attr, 2403, 2013
atf, 3143, 20479
atom-dft, 3191, 22147
apfel, 42224, 130983
autoconf-archive, 2401, 1999
bashtop, 2410, 2062
bannergrab, 2401, 1999
authd, 2401, 1999
avizo, 2404, 2020
autoconf, 2964, 14396
bamdst, 2437, 2869
bdftopcf, 2917, 17299
automake, 2992, 15383
bc, 2944, 14330
authselect, 3165, 21532
bats, 2401, 1999
bamutil, 2437, 2869
bash, 2652, 7415
bash-completion, 3186, 21713
bdw-gc, 2435, 2868
beakerlib, 2403, 2013
autodock-gpu, 6384, 88703
batctl, 6419, 91482
autogen, 6530, 92761
backupninja, 6502, 94274
bdii, 7025, 103563
axel, 6289, 88099
bbcp, 6270, 87497
bcache, 6437, 91075
audit-userspace, 7295, 108168
babeltrace, 7196, 100413
berkeley-db, 2470, 2180
autofact, 8084, 160589
bedops, 2405, 2027
bigreqsproto, 2512, 4611
biobambam2, 3188, 21818
bgpdump, 3147, 20593
bind9, 3332, 23239
beforelight, 3718, 40706
bioawk, 3034, 15608
bison, 3013, 14681
binutils, 6410, 88244
bedtools2, 6286, 87674
blast-legacy, 2564, 5530
bird, 6420, 91042
bitlbee, 7802, 115058
bitmap, 6599, 99844
blat, 2459, 3693
blktrace, 2430, 2848
bliss, 3168, 21460
blitz, 6347, 87432
blis, 6383, 87574
blogbench, 2402, 2006
bmi, 3012, 16316
aegean, 42191, 752319
amdlibflame, 42132, 746811
abseil-cpp, 42210, 749619
bonniepp, 2401, 1999
aom, 42219, 750844
admixtools, 42230, 755829
abi-compliance-checker, 42577, 760603
andi, 42284, 757550
aluminum, 46018, 769405
abi-dumper, 42536, 757566
adwaita-icon-theme, 42152, 749534
alembic, 42355, 754967
adol-c, 42228, 749646
aria2, 42221, 752740
